X÷·,Y÷·,Z÷·
5914.683,5974.434,0.55
5902.548,5958.536,0.55
5890.344,5942.691,0.55
5878.074,5926.897,0.55
5865.735,5911.157,0.55
5853.311,5895.484,0.55
5840.793,5879.886,0.55
5828.150,5864.389,0.55
5815.301,5849.063,0.55
5802.160,5833.987,0.55
5788.624,5819.264,0.55
5774.737,5804.873,0.55
5760.611,5790.715,0.55
5746.315,5776.728,0.55
5731.899,5762.865,0.55
5717.368,5749.124,0.55
5702.743,5735.481,0.55
5688.009,5721.957,0.55
5673.166,5708.552,0.55
5658.189,5695.298,0.55
5643.076,5682.198,0.55
5627.820,5669.266,0.55
5612.436,5656.486,0.55
5596.937,5643.845,0.55
5581.311,5631.363,0.55
5565.564,5619.032,0.55
5549.690,5606.868,0.55
5533.665,5594.901,0.55
5517.486,5583.143,0.55
5501.155,5571.599,0.55
5484.664,5560.284,0.55
5468.008,5549.213,0.55
5451.182,5538.402,0.55
5434.165,5527.894,0.55
5416.959,5517.700,0.55
5399.560,5507.838,0.55
5381.963,5498.335,0.55
5364.175,5489.195,0.55
5346.218,5480.389,0.55
5328.103,5471.913,0.55
5309.861,5463.715,0.55
5291.518,5455.744,0.55
5273.094,5447.962,0.55
5254.600,5440.348,0.55
5236.040,5432.899,0.55
5217.415,5425.610,0.55
5198.720,5418.504,0.55
5179.952,5411.595,0.55
5161.117,5404.867,0.55
5142.206,5398.359,0.55
5123.214,5392.091,0.55
5104.128,5386.116,0.55
5084.920,5380.545,0.55
5065.594,5375.399,0.55
5046.106,5370.907,0.55
5026.474,5367.102,0.55
5006.689,5364.191,0.55
4986.782,5362.303,0.55
4966.802,5361.518,0.55
4946.810,5361.923,0.55
4926.878,5363.546,0.55
4907.064,5366.248,0.55
4887.400,5369.879,0.55
4867.900,5374.314,0.55
4848.582,5379.488,0.55
4829.519,5385.532,0.55
4810.846,5392.684,0.55
4792.813,5401.317,0.55
4776.017,5412.140,0.55
4761.039,5425.357,0.55
4748.353,5440.791,0.55
4737.673,5457.687,0.55
4728.830,5475.617,0.55
4721.583,5494.250,0.55
4716.009,5513.450,0.55
4712.098,5533.056,0.55
4709.791,5552.917,0.55
4708.904,5572.895,0.55
4709.063,5592.893,0.55
4709.992,5612.870,0.55
4711.483,5632.814,0.55
4713.428,5652.718,0.55
4715.787,5672.578,0.55
4718.626,5692.375,0.55
4722.044,5712.080,0.55
4726.083,5731.667,0.55
4730.748,5751.114,0.55
4736.002,5770.411,0.55
4741.816,5789.545,0.55
4748.228,5808.489,0.55
4755.252,5827.213,0.55
4762.877,5845.701,0.55
4771.230,5863.871,0.55
4780.268,5881.710,0.55
4789.932,5899.219,0.55
4800.216,5916.372,0.55
4810.941,5933.251,0.55
4822.029,5949.896,0.55
4833.398,5966.350,0.55
4844.971,5982.661,0.55
4856.716,5998.849,0.55
4868.577,6014.952,0.55
4880.519,6030.996,0.55
4892.524,6046.992,0.55
4904.578,6062.951,0.55
4916.678,6078.875,0.55
4928.795,6094.787,0.55
4940.921,6110.692,0.55
4953.051,6126.593,0.55
4965.197,6142.483,0.55
4977.366,6158.355,0.55
4989.566,6174.203,0.55
5001.804,6190.021,0.55
5014.093,6205.801,0.55
5026.463,6221.516,0.55
5038.911,6237.170,0.55
5051.451,6252.750,0.55
5064.096,6268.246,0.55
5076.856,6283.646,0.55
5089.738,6298.944,0.55
5102.751,6314.133,0.55
5115.910,6329.193,0.55
5129.210,6344.130,0.55
5142.661,6358.931,0.55
5156.274,6373.583,0.55
5170.064,6388.068,0.55
5184.045,6402.370,0.55
5198.212,6416.487,0.55
